ORDENAÇÃO,TAM AMOSTRA,TEMPO
BUBBLE SORT,100,69 microsegundos
BUBBLE SORT,1000,7589 microsegundos
BUBBLE SORT,10000,797484 microsegundos
MERGE SORT,100,80 microsegundos
MERGE SORT,1000,809 microsegundos
MERGE SORT,10000,9778 microsegundos
QUICK SORT,100,10 microsegundos
QUICK SORT,1000,154 microsegundos
QUICK SORT,10000,1974 microsegundos
ORDENAÇÃO,TAM AMOSTRA,TEMPO
BUBBLE SORT,100,68 microsegundos
BUBBLE SORT,1000,7169 microsegundos
BUBBLE SORT,10000,772027 microsegundos
MERGE SORT,100,75 microsegundos
MERGE SORT,1000,727 microsegundos
MERGE SORT,10000,9263 microsegundos
QUICK SORT,100,11 microsegundos
QUICK SORT,1000,144 microsegundos
QUICK SORT,10000,1876 microsegundos
ORDENAÇÃO,TAM AMOSTRA,TEMPO
BUBBLE SORT,100,161 microsegundos
BUBBLE SORT,1000,12454 microsegundos
BUBBLE SORT,10000,1168655 microsegundos
MERGE SORT,100,156 microsegundos
MERGE SORT,1000,1241 microsegundos
MERGE SORT,10000,13001 microsegundos
QUICK SORT,100,13 microsegundos
QUICK SORT,1000,200 microsegundos
QUICK SORT,10000,2618 microsegundos
