TAM AMOSTRA,TEMPO,SPECS_ID
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
1000,142,1
10000,2139,1
100,9,1
